         4658 function calls (4644 primitive calls) in 6.893 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 _preparing.py:53(key)
        3    0.000    0.000    0.000    0.000 _queries.py:115(is_params_sequence)
        4    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 enum.py:1317(name)
        1    0.000    0.000    0.000    0.000 enum.py:198(__get__)
        1    0.000    0.000    1.495    1.495 manager.py:165(get_last_operations)
        3    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 enum.py:1145(__new__)
        3    0.000    0.000    0.000    0.000 _preparing.py:192(maintain_gen)
        2    0.000    0.000    0.000    0.000 dbmanager.py:19(__init__)
        5    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 adapt.py:129(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _io.text_encoding}
        5    0.000    0.000    0.000    0.000 selectors.py:63(__init__)
        3    0.000    0.000    0.000    0.000 cursor.py:281(_fetch_pipeline)
        2    0.000    0.000    0.000    0.000 manager.py:174(<genexpr>)
        3    0.000    0.000    0.000    0.000 rows.py:101(tuple_row)
        6    0.000    0.000    0.000    0.000 _cursor_base.py:101(closed)
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 _cursor_base.py:97(adapters)
        2    0.000    0.000    0.000    0.000 contextlib.py:444(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        5    0.000    0.000    0.000    0.000 selectors.py:203(__enter__)
        3    0.000    0.000    0.000    0.000 _connection_base.py:226(deferrable)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.000    0.000 _connection_base.py:188(isolation_level)
        3    0.000    0.000    0.000    0.000 _cursor_base.py:92(connection)
        3    0.000    0.000    0.000    0.000 _connection_base.py:207(read_only)
        1    0.000    0.000    0.000    0.000 pp.py:130(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:447(__enter__)


